,LinearDiscriminantAnalysis Acc,NuSVC Acc,KNeighborsClassifier Acc,LinearDiscriminantAnalysis Loss,NuSVC Loss,KNeighborsClassifier Loss
0,0.5294117647058824,0.6470588235294118,0.47058823529411764,1.7195612906084836,0.985949937297833,0.9624512063026517
1,0.4117647058823529,0.29411764705882354,0.4117647058823529,2.7230769740986402,1.227777821577391,1.3456695998833883
2,0.4117647058823529,0.47058823529411764,0.29411764705882354,2.113245416851076,1.0577596614019116,3.061900217955452
3,0.5294117647058824,0.5294117647058824,0.47058823529411764,2.680989237901698,0.9619722080522438,1.141540761462853
4,0.7058823529411765,0.7058823529411765,0.5294117647058824,0.7464405474859548,0.7198492828934315,0.9357303079333811
5,0.35294117647058826,0.47058823529411764,0.6470588235294118,1.7433023262694227,0.9093671060477225,0.8343910963015518
6,0.47058823529411764,0.5882352941176471,0.35294117647058826,2.2315624447955833,1.0391715546652367,4.885849915604781
7,0.35294117647058826,0.47058823529411764,0.35294117647058826,2.341158964956351,0.9817552203092006,3.151301732881594
8,0.7647058823529411,0.5882352941176471,0.4117647058823529,1.1495750765579238,1.0249792017440673,2.931176793550256
9,0.5294117647058824,0.5882352941176471,0.5882352941176471,2.224518855901967,1.1114273577767886,0.950513509596964
